image_name,xmin,xmax,ymin,ymax,label
image0.jpg,690.06,375.16,843.50,509.70,Watermelon
image1.jpg,519.54,462.88,619.96,555.73,Peach
image10.jpg,523.33,375.73,631.33,493.20,Lemon
image103.jpg,832.17,517.83,962.90,631.52,Coconut
image104.jpg,464.59,652.36,566.90,752.78,Lemon
image104.jpg,1027.14,536.62,1139.11,614.46,Orange
image105.jpg,540.38,442.04,644.59,529.20,Lemon
image105.jpg,684.38,555.73,784.80,658.04,Green apple
image106.jpg,794.27,534.90,951.50,684.57,Pineapple
image107.jpg,669.03,572.60,811.30,692.15,Watermelon
image109.jpg,568.80,430.11,663.54,540.00,Mango
image109.jpg,466.48,635.30,566.90,720.57,Peach
image109.jpg,1070.91,576.57,1158.06,675.09,Green apple
image11.jpg,784.80,347.30,928.80,493.20,Watermelon
image110.jpg,972.40,275.30,1055.70,366.25,Kiwi
image110.jpg,640.80,584.15,799.96,665.62,Banana
image111.jpg,616.17,305.62,710.90,396.57,Peach
image112.jpg,568.80,354.90,656.00,489.41,Lemon
image112.jpg,803.70,295.58,906.06,396.00,Coconut
image113.jpg,663.54,310.74,758.27,414.95,Lemon
image113.jpg,678.61,204.20,782.90,312.20,Coconut
image114.jpg,758.27,462.32,858.69,543.79,Lemon
image115.jpg,1017.85,477.47,1114.48,549.47,Kiwi
image115.jpg,472.20,587.37,574.48,750.30,Banana
image116.jpg,1057.60,636.60,1192.17,765.47,Watermelon
image119.jpg,847.33,445.83,936.38,551.94,Lemon
image119.jpg,511.96,485.62,614.27,597.41,Mango
image119.jpg,712.80,517.83,805.60,603.10,Kiwi
image119.jpg,1017.85,434.46,1142.90,551.90,Coconut
image12.jpg,784.80,388.99,862.48,472.36,Peach
image12.jpg,1082.27,686.46,1178.90,762.25,Green apple
image120.jpg,661.64,606.88,781.01,699.73,Orange
image120.jpg,788.59,339.73,885.22,445.83,Green apple
image122.jpg,815.10,460.99,959.12,584.15,Watermelon
image13.jpg,932.59,424.99,1025.43,515.94,Green apple
image13.jpg,487.30,457.20,635.10,644.78,Pineapple
image14.jpg,559.26,253.50,707.06,465.69,Pineapple
image14.jpg,1063.33,603.09,1163.75,690.25,Lemon
image15.jpg,1213.01,529.20,1328.59,639.09,Green apple
image15.jpg,974.27,377.62,1069.01,474.25,Lemon
image17.jpg,714.69,406.04,809.43,495.09,Kiwi
image18.jpg,629.43,419.30,781.00,544.36,Watermelon
image19.jpg,697.64,445.83,796.17,540.57,Banana
image2.jpg,962.90,275.30,1091.75,436.36,Watermelon
image2.jpg,563.12,407.94,663.54,489.41,Kiwi
image2.jpg,775.33,423.09,892.80,506.46,Lemon
image20.jpg,532.80,491.30,633.22,587.94,Lemon
image21.jpg,968.59,377.10,1142.90,541.89,Pineapple
image22.jpg,917.43,358.67,1120.17,495.09,Pineapple
image23.jpg,822.69,496.99,945.85,589.83,Mango
image25.jpg,710.90,462.88,820.80,568.99,Coconut
image27.jpg,532.80,474.25,610.48,567.09,Kiwi
image28.jpg,974.27,373.83,1086.06,468.57,Green apple
image28.jpg,555.50,445.64,657.90,565.20,Mango
image28.jpg,794.27,402.25,887.12,495.09,Lemon
image29.jpg,709.01,203.30,813.22,326.46,Banana
image29.jpg,629.43,400.36,712.80,529.20,Mango
image29.jpg,733.64,328.36,815.12,451.52,Lemon
image29.jpg,815.12,256.40,911.70,394.67,Watermelon
image29.jpg,919.33,294.25,1014.06,388.99,Green apple
image3.jpg,705.22,468.57,798.06,595.52,Banana
image3.jpg,517.64,421.20,635.12,502.67,Mango
image3.jpg,1015.96,510.25,1120.20,608.80,Orange
image30.jpg,542.30,455.30,637.01,565.20,Orange
image30.jpg,737.43,432.57,818.90,525.41,Kiwi
image30.jpg,828.38,436.36,902.27,519.73,Peach
image31.jpg,510.06,531.09,614.27,618.25,Mango
image31.jpg,1019.75,419.30,1135.33,529.20,Coconut
image32.jpg,692.00,474.30,817.00,616.36,Banana
image33.jpg,422.90,453.41,631.33,603.09,Pineapple
image34.jpg,665.40,614.50,771.54,707.30,Green apple
image34.jpg,919.33,339.70,1082.27,464.78,Watermelon
image36.jpg,532.80,409.83,614.27,506.46,Kiwi
image36.jpg,710.90,398.46,815.12,496.99,Orange
image36.jpg,712.80,498.88,820.80,591.73,Lemon
image36.jpg,820.80,417.41,934.48,531.09,Coconut
image36.jpg,943.96,417.41,1133.43,550.04,Pineapple
image37.jpg,561.22,313.20,674.90,411.73,Green apple
image37.jpg,976.17,453.41,1076.59,544.36,Peach
image38.jpg,885.20,443.90,978.06,529.20,Peach
image4.jpg,853.01,404.15,921.22,589.83,Banana
image40.jpg,714.69,479.94,818.90,599.30,Watermelon
image40.jpg,818.90,414.95,940.17,615.79,Pineapple
image41.jpg,921.22,361.89,1017.85,433.89,Lemon
image41.jpg,820.80,272.84,911.75,367.58,Kiwi
image42.jpg,508.17,360.00,650.27,521.05,Watermelon
image42.jpg,813.22,496.42,921.22,585.47,Orange
image42.jpg,1012.17,462.32,1108.80,570.32,Mango
image43.jpg,837.85,468.00,932.59,555.16,Peach
image44.jpg,515.75,504.00,633.22,627.16,Coconut
image47.jpg,701.43,394.10,832.17,543.79,Watermelon
image48.jpg,513.85,454.74,686.27,634.74,Pineapple
image49.jpg,585.85,342.95,786.69,464.21,Pineapple
image5.jpg,727.96,475.58,826.48,593.05,Mango
image50.jpg,534.69,397.89,631.33,511.58,Green apple
image50.jpg,727.96,454.74,822.69,540.00,Peach
image50.jpg,822.69,424.42,911.75,509.68,Kiwi
image51.jpg,491.12,509.68,616.17,634.74,Coconut
image51.jpg,699.54,511.58,805.64,606.32,Mango
image51.jpg,851.12,447.16,947.75,543.79,Orange
image52.jpg,716.59,394.10,813.22,528.63,Mango
image52.jpg,527.12,500.21,610.48,640.42,Banana
image53.jpg,1006.48,443.37,1180.80,649.89,Pineapple
image54.jpg,508.17,475.60,637.01,566.53,Green apple
image56.jpg,784.80,240.63,873.85,371.37,Lemon
image57.jpg,805.64,401.68,913.64,502.10,Orange
image58.jpg,1014.06,416.84,1118.27,521.05,Mango
image60.jpg,534.69,471.79,646.48,570.32,Peach
image61.jpg,625.64,405.47,710.90,505.89,Peach
image62.jpg,682.48,452.84,834.06,594.95,Watermelon
image63.jpg,536.59,386.53,623.75,483.16,Orange
image64.jpg,782.90,396.00,936.38,594.95,Pineapple
image65.jpg,1021.64,452.84,1125.85,579.79,Mango
image66.jpg,837.85,380.84,913.64,545.68,Banana
image67.jpg,1084.17,684.00,1182.69,761.68,Kiwi
image68.jpg,1027.33,504.00,1120.17,583.58,Kiwi
image69.jpg,462.69,615.79,566.90,718.10,Peach
image7.jpg,530.90,458.53,621.85,566.53,Orange
image70.jpg,527.12,401.68,627.54,486.95,Peach
image70.jpg,1224.38,659.37,1313.43,737.05,Banana
image71.jpg,834.06,450.95,945.85,551.37,Orange
image72.jpg,511.96,481.30,623.75,572.21,Mango
image73.jpg,1239.54,678.32,1339.96,763.58,Orange
image74.jpg,1000.80,483.16,1156.17,629.05,Watermelon
image75.jpg,701.43,490.74,830.27,695.37,Pineapple
image76.jpg,745.01,382.74,928.80,568.42,Pineapple
image76.jpg,871.96,693.47,1010.27,765.47,Coconut
image78.jpg,483.50,615.79,580.17,704.84,Lemon
image79.jpg,546.06,443.40,655.96,532.42,Lemon
image8.jpg,981.90,327.79,1178.91,464.21,Pineapple
image80.jpg,610.48,361.89,710.90,477.47,Lemon
image81.jpg,523.33,447.16,635.12,545.68,Peach
image81.jpg,714.69,460.42,818.90,560.84,Orange
image81.jpg,820.80,401.68,911.75,570.30,Banana
image82.jpg,993.22,450.95,1108.80,568.42,Green apple
image82.jpg,906.06,702.95,1008.38,767.37,Lemon
image84.jpg,695.70,432.00,849.22,562.74,Watermelon
image86.jpg,570.69,392.21,663.54,486.95,Kiwi
